Code compiled on Mar 13 2026 at 16:53:56
ï»¿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.595
Air Density (kg/m^3),1.254
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,2
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.595
Air Density (kg/m^3),1.254
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,2
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Locko-1.091170,-0.122255,37.159428,0.094781,1.121860,27.357259,-0.335754,0.415234,19.999883,0.000000,0.000000,
232480917,29.280395,14.288139,2,-0.597168,0.011414,0.052246,0.800354,-4.251534,0.281145,71.960793,-1.682209,10.976152,61.420341,30.763486,67.444516,61.709031,0.000000,0.000000,
232490624,30.652191,14.279051,2,-0.582764,0.010864,0.047791,0.811157,-4.050098,0.327345,70.835532,-1.086634,10.100613,60.423407,31.409795,68.015676,60.767889,0.000000,0.000000,
232500324,31.346161,14.283595,2,-0.567688,0.010315,0.044067,0.822021,-3.911754,0.258397,70.018301,-0.681927,9.441302,59.685705,32.065936,68.585950,59.975675,0.000000,0.000000,
232511324,31.842926,14.288139,2,-0.551941,0.009705,0.041138,0.832825,-3.673554,0.720024,68.875760,0.087753,8.546615,58.640680,32.801497,69.201316,58.998391,0.000000,0.000000,
232520984,32.828735,14.288139,2,-0.535583,0.009094,0.039062,0.843567,-3.946754,0.375320,67.878196,0.223268,8.538661,57.653720,33.475358,69.761610,58.014024,0.000000,0.000000,
232530731,33.617889,14.288139,2,-0.518433,0.008423,0.037903,0.854248,-4.309850,0.120631,66.895801,0.438387,8.665845,56.670747,34.172276,70.333269,57.030677,0.000000,0.000000,
232541677,33.712402,14.283595,2,-0.500671,0.007629,0.037598,0.864807,-4.237440,0.186383,66.606563,0.643612,8.406639,56.407456,34.899315,70.888679,56.574447,0.000000,0.000000,
232551022,34.508850,14.292683,2,-0.482178,0.006836,0.038208,0.875183,-4.196804,-0.265869,65.029731,0.398165,8.451543,54.813834,35.524875,71.347031,55.285589,0.000000,0.000000,
232560887,35.589477,14.288139,2,-0.463135,0.005920,0.039490,0.885376,-4.277296,-0.670652,64.120939,0.218990,8.720031,53.870853,36.237770,71.887285,54.249930,0.000000,0.000000,
232571846,36.575683,14.288139,2,-0.443542,0.004761,0.041321,0.895264,-4.063666,-0.579258,63.548582,0.217661,8.540290,53.301179,37.062685,72.517366,53.555396,0.000000,0.000000,
232581361,37.759857,14.288139,2,-0.423523,0.003357,0.043640,0.904846,-4.181009,-1.389564,62.657176,-0.316187,9.210686,52.334347,37.825045,73.109985,52.661526,0.000000,0.000000,
232591053,39.045959,14.292683,2,-0.403076,0.001770,0.046204,0.914001,-3.873419,-1.518129,60.991681,-0.580179,9.102559,50.646716,38.658421,73.766178,51.186583,0.000000,0.000000,
232602109,39.440246,14.292683,2,-0.382324,0.000000,0.049011,0.922729,-3.791172,-1.379630,60.080547,-0.542885,9.069426,49.728799,39.555472,74.422012,50.119411,0.000000,0.000000,
232611495,41.018585,14.292683,2,-0.361267,-0.001831,0.051819,0.931030,-3.894552,-2.111843,59.090507,-0.952740,9.784538,48.631944,40.403040,75.077322,49.030510,0.000000,0.000000,
232622513,42.289062,14.279051,2,-0.339905,-0.003662,0.054504,0.938843,-3.740518,-2.564064,57.606919,-1.290150,10.087864,47.083886,41.422521,75.851851,47.605483,0.000000,0.000000,
232631696,44.168732,14.283595,2,-0.318237,-0.005493,0.057068,0.946289,-3.573797,-2.640274,58.032559,-1.451273,10.303038,47.460025,42.396957,76.662384,47.499001,0.000000,0.000000,
232641440,45.258118,14.288139,2,-0.296143,-0.007202,0.059509,0.953247,-3.610955,-2.725225,58.408768,-1.418604,10.643574,47.790539,43.433169,77.514743,47.712422,0.000000,0.000000,
232652178,45.755524,14.292683,2,-0.273743,-0.008850,0.061523,0.959778,-3.288897,-2.952738,54.835564,-1.531880,10.423037,44.188908,44.500978,78.303125,45.133031,0.000000,0.000000,
232661818,47.422211,14.279051,2,-0.250854,-0.010437,0.063110,0.965881,-3.079911,-2.616817,54.927604,-1.419371,10.165012,44.310555,45.551052,79.126330,44.530937,0.000000,0.000000,
