Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment
26370260,-0.298057,26.119587,1,-0.581482,-0.097046,0.795593,-0.139526,9.12,0.9,-2.47,-0.847254,1.747384,-0.506145,-0.156429,0.047088,-0.454026,0.25,0.25
26379993,-0.109031,26.119587,1,-0.577393,-0.097351,0.799011,-0.136841,9.29,0.22,-2.75,-0.526388,1.139241,-0.187744,-0.153251,0.047128,-0.259094,0.25,0.25
26391147,-0.01812,26.11495,1,-0.573608,-0.098267,0.801941,-0.134705,10.11,-0.51,-2.62,-0.754359,0.347998,0.620868,-0.14488,0.059114,0.385083,0.25,0.25
26400560,-0.200462,26.124224,1,-0.570374,-0.100708,0.804199,-0.13324,9.77,-0.88,-2.47,-0.730367,-0.117625,0.284353,-0.147523,0.05948,0.311343,0.25,0.25
26410332,-0.772148,26.11495,1,-0.5672,-0.10437,0.806213,-0.13208,9.73,-0.47,-2.1,-1.241927,0.067332,0.090678,-0.183059,0.034517,0.149805,0.25,0.25
26421212,0.267479,26.119587,1,-0.563965,-0.108398,0.808105,-0.130859,10.34,-1.01,-2.24,-1.213652,-0.493522,0.748256,-0.156499,0.061382,0.587902,0.25,0.25
26430678,0.072792,26.110313,1,-0.561218,-0.113525,0.809692,-0.128723,10.51,-1.28,-2.31,-1.164459,-0.845602,0.944326,-0.142536,0.080254,0.848823,0.25,0.25
26440384,0.261833,26.110313,1,-0.55835,-0.119263,0.811279,-0.126221,10.94,-2.41,-2.39,-0.911495,-2.034502,1.437952,-0.118131,0.11173,1.280095,0.25,0.25
26451447,-0.21331,26.105676,1,-0.55542,-0.125244,0.812866,-0.122803,10.95,-1.53,-2.5,-1.150685,-1.328337,1.398832,-0.122361,0.122991,1.367016,0.25,0.25
26460805,-0.024803,26.105676,1,-0.552979,-0.132446,0.814148,-0.117676,10,-0.57,-2.58,-1.088255,-0.517425,0.473625,-0.115516,0.13147,0.713009,0.25,0.25
26470534,-0.310386,26.10104,1,-0.550659,-0.141357,0.815247,-0.110352,10.59,0.11,-2.5,-1.613672,-0.218994,0.953217,-0.1256,0.131945,0.888853,0.25,0.25
26482169,-0.121879,26.10104,1,-0.547913,-0.151184,0.816528,-0.101074,9.17,1.05,-2.95,-1.088978,0.407605,-0.194381,-0.123895,0.130408,0.095871,0.25,0.25
26491055,-0.121879,26.10104,1,-0.544495,-0.162842,0.81781,-0.090637,8.35,3.12,-3.21,-1.333386,2.553181,-0.77608,-0.122684,0.123085,-0.542441,0.25,0.25
26500639,-0.499412,26.10104,1,-0.540283,-0.175171,0.819153,-0.080078,6.61,3.44,-4.1,-0.11681,3.183452,-1.909085,-0.14384,0.087143,-1.542894,0.25,0.25
26512591,-0.407982,26.096403,1,-0.535278,-0.188049,0.820496,-0.070129,6.7,2.89,-3.58,-0.502532,1.956583,-1.991934,-0.158571,0.051113,-1.871614,0.25,0.25
26521454,-0.50608,26.091766,1,-0.529785,-0.200012,0.821838,-0.062134,6.7,1.78,-3.71,0.034211,1.034417,-2.004727,-0.178799,0.016381,-1.96906,0.25,0.25
26530957,-0.596992,26.096403,1,-0.525208,-0.208374,0.823059,-0.057739,6.36,1.16,-4.08,0.659633,0.539736,-2.204863,-0.203546,-0.024936,-2.14168,0.25,0.25
26542721,0.060463,26.091766,1,-0.521301,-0.212646,0.824524,-0.056458,7.1,0.72,-4.52,0.835441,-0.031409,-1.395728,-0.188215,-0.028857,-1.595605,0.25,0.25
26551543,-0.226158,26.087129,1,-0.518799,-0.214478,0.825623,-0.056335,8.96,0.97,-3.75,-0.589277,-0.592128,-0.071449,-0.190671,-0.030439,-0.479846,0.25,0.25
26560984,0.15139,26.087129,1,-0.518677,-0.215027,0.825562,-0.056152,9.86,1.11,-3.44,-1.237144,-0.831331,0.59753,-0.170511,-0.007608,0.308848,0.25,0.25
26572880,-0.50608,26.091766,1,-0.520447,-0.214355,0.824646,-0.055664,9.23,2.58,-3.27,-1.66222,0.648357,0.16175,-0.190649,-0.022554,0.201165,0.25,0.25
26581724,-0.414146,26.087129,1,-0.522949,-0.212463,0.823669,-0.054688,-0.76,4.61,-6.62,3.947376,6.461088,-6.902579,-0.204801,-0.099706,-4.999137,0.25,0.25
26591178,-0.414146,26.087129,1,-0.525146,-0.210144,0.822937,-0.053162,3.06,-2.28,-6.24,5.065252,-1.025077,-4.627587,-0.218478,-0.154291,-4.727143,0.25,0.25
26602938,-0.128563,26.091766,1,-0.52948,-0.205627,0.821289,-0.05365,15.96,-2.37,-0.57,-4.059206,-6.297368,4.374474,-0.21431,-0.103784,1.935703,0.25,0.25
26611758,-0.134208,26.082492,1,-0.539062,-0.198303,0.81665,-0.056091,14.52,1.3,-0.05,-5.395045,-2.611493,3.485923,-0.210207,-0.067818,3.070543,0.25,0.25
26621343,-0.602653,26.087129,1,-0.548889,-0.193665,0.811218,-0.05542,9.79,5.13,-2.93,-2.530049,3.123434,0.905311,-0.2345,-0.079916,1.485483,0.25,0.25
26633224,-0.414146,26.087129,1,-0.555298,-0.192139,0.807495,-0.051392,8.85,3.02,-2.49,-1.572049,1.225807,-0.355654,-0.246372,-0.092591,0.137677,0.25,0.25
26642107,-0.226158,26.087129,1,-0.558655,-0.192383,0.80542,-0.046753,9.12,2.12,-2.14,-1.634308,0.234107,-0.340864,-0.246005,-0.094819,-0.212639,0.25,0.25
26651464,-0.511741,26.082492,1,-0.560486,-0.192383,0.804321,-0.04425,10.51,2.05,-1.37,-2.652108,-0.441938,0.65923,-0.262899,-0.103117,0.425614,0.25,0.25
26663239,-0.609321,26.077855,1,-0.561829,-0.191895,0.803528,-0.043274,11.51,3.52,-0.86,-3.896953,0.545548,1.611656,-0.284956,-0.103866,1.293857,0.25,0.25
26672026,0.145226,26.077855,1,-0.561951,-0.189209,0.804077,-0.043762,9.33,2.08,-2.28,-1.480345,0.193767,-0.086985,-0.259815,-0.081478,0.28301,0.25,0.25
26683636,-0.140892,26.073219,1,-0.560242,-0.186462,0.805847,-0.045044,7.77,0.82,-3.29,0.206074,-0.22275,-1.330265,-0.253671,-0.089341,-0.897989,0.25,0.25
26692308,-0.238472,26.068582,1,-0.557434,-0.185486,0.807861,-0.046997,8.44,0.51,-3.12,-0.032402,-0.7278,-0.816902,-0.253547,-0.095512,-0.838629,0.25,0.25
26701824,-0.511741,26.082492,1,-0.554993,-0.185303,0.809448,-0.049316,9.25,-0.45,-2.77,-0.313418,-1.888609,-0.329406,-0.270168,-0.113291,-0.465852,0.25,0.25
26713592,-0.329399,26.073219,1,-0.553467,-0.184387,0.810547,-0.051941,9.04,0.01,-2.72,-0.536743,-1.342856,-0.475359,-0.275148,-0.122243,-0.472811,0.25,0.25
26722454,-0.056129,26.059308,1,-0.552429,-0.183777,0.811218,-0.054504,9.1,0.86,-2.64,-0.926868,-0.595901,-0.349585,-0.262855,-0.112596,-0.382603,0.25,0.25
26731796,0.138542,26.068582,1,-0.551514,-0.183044,0.811829,-0.05658,5.97,0.42,-2.89,0.440808,-0.154072,-3.168158,-0.239621,-0.119109,-2.421771,0.25,0.25
26743623,0.138542,26.068582,1,-0.550598,-0.182312,0.8125,-0.058289,10.07,-0.76,-2.87,-0.53657,-2.12804,0.459115,-0.217764,-0.093699,-0.312816,0.25,0.25
26752377,-0.426475,26.068582,1,-0.550232,-0.180359,0.813049,-0.060974,9.25,-4.96,-3.64,1.917176,-5.605822,-0.399576,-0.231399,-0.109548,-0.376328,0.25,0.25
26761962,-0.335563,26.063945,1,-0.550415,-0.174988,0.813721,-0.065552,8.31,-1.41,-3.27,0.587667,-2.098811,-1.023915,-0.2389,-0.125447,-0.850395,0.25,0.25
26773758,-0.426475,26.068582,1,-0.551208,-0.168945,0.814087,-0.070251,10.11,-1.53,-3.31,0.075474,-2.306125,0.672638,-0.251806,-0.129488,0.264542,0.25,0.25
26782593,-0.238472,26.068582,1,-0.55365,-0.163879,0.81311,-0.073608,9.06,-1.05,-3.62,0.521644,-1.561564,-0.124465,-0.252151,-0.130033,-0.020231,0.25,0.25
26791942,-0.52407,26.063945,1,-0.556396,-0.159668,0.811951,-0.0755,10.28,-0.63,-3.42,-0.166837,-1.365632,0.965558,-0.270007,-0.137231,0.701417,0.25,0.25
26803851,-0.049461,26.068582,1,-0.559021,-0.155151,0.810913,-0.076599,10.59,-0.8,-3.27,-0.256863,-1.442062,1.20028,-0.257954,-0.11008,1.06661,0.25,0.25
26812649,-0.52407,26.063945,1,-0.561951,-0.149414,0.809875,-0.077332,10.21,-0.26,-3.06,-0.504259,-0.922548,0.807469,-0.275324,-0.119351,0.876906,0.25,0.25
26822252,-0.52407,26.063945,1,-0.564941,-0.143311,0.808899,-0.077393,10.9,-0.17,-2.81,-0.929409,-0.915934,1.377749,-0.291728,-0.121238,1.243549,0.25,0.25
26834052,-0.433143,26.059308,1,-0.568298,-0.136841,0.807739,-0.076782,11.26,0.84,-2.79,-1.246025,0.137475,1.750587,-0.301762,-0.109488,1.614726,0.25,0.25
26842778,-0.52407,26.063945,1,-0.572266,-0.130432,0.806091,-0.075439,10.97,1.22,-2.98,-1.081579,0.613888,1.559675,-0.316419,-0.10966,1.574426,0.25,0.25
26852229,-0.34275,26.054671,1,-0.576294,-0.124634,0.804321,-0.073425,10.65,-0.09,-2.66,-0.798874,-0.612198,1.127196,-0.319047,-0.100619,1.247031,0.25,0.25
26864129,0.411827,26.054671,1,-0.57959,-0.118225,0.80304,-0.071899,8.02,1.26,-1.59,-1.247682,0.826627,-1.662866,-0.275162,-0.073449,-0.883161,0.25,0.25
26873037,-0.153724,26.054671,1,-0.582336,-0.112183,0.802063,-0.070862,8.94,-0.19,-1.22,-1.478751,-0.748748,-0.928017,-0.268318,-0.074135,-0.915998,0.25,0.25
26882566,-0.34275,26.054671,1,-0.5849,-0.106201,0.801086,-0.070251,13,-0.26,-2.89,-1.08467,-0.706907,3.455973,-0.273341,-0.045854,2.284507,0.25,0.25
26894341,-0.622169,26.059308,1,-0.587219,-0.098389,0.800293,-0.071106,14.1,0.86,-1.14,-3.228846,0.169999,3.997555,-0.295227,-0.021614,3.538545,0.25,0.25
26903072,0.223809,26.054671,1,-0.589111,-0.090942,0.799622,-0.072754,12.85,1.53,-0.36,-3.734514,0.802177,2.572133,-0.263065,0.033149,2.831082,0.25,0.25
26912632,-0.062813,26.050034,1,-0.589905,-0.086975,0.7995,-0.072266,3.06,1.97,-1.89,0.441675,2.16231,-6.345973,-0.250883,-0.014428,-3.886988,0.25,0.25
26924481,-0.25132,26.050034,1,-0.588623,-0.085754,0.80072,-0.070801,4.23,-0.99,0.76,-1.780076,-1.350471,-5.97329,-0.251565,-0.083923,-5.414267,0.25,0.25
26933433,0.028618,26.045398,1,-0.586487,-0.084045,0.802551,-0.070374,7.31,-0.22,-1.95,-0.316336,-0.185452,-2.239175,-0.234797,-0.084061,-3.089938,0.25,0.25
26942903,0.022454,26.036124,1,-0.586853,-0.08197,0.802368,-0.071716,10.34,0.9,-1.28,-2.080947,0.654622,0.420864,-0.21943,-0.063551,-0.519853,0.25,0.25
26954574,-0.257484,26.040761,1,-0.588196,-0.075562,0.801697,-0.075012,8.56,-1.72,-1.97,-0.355969,-1.366452,-0.985547,-0.222629,-0.077213,-0.860765,0.25,0.25
26963310,-0.445991,26.040761,1,-0.588684,-0.065369,0.801819,-0.079407,9.61,-1.89,-1.53,-1.060381,-1.649136,-0.078728,-0.237232,-0.091889,-0.288274,0.25,0.25
26974876,0.393334,26.02685,1,-0.587952,-0.058044,0.802307,-0.084778,9.35,-1.22,-0.68,-1.962743,-0.878041,-0.604792,-0.198908,-0.058048,-0.519981,0.25,0.25
26983502,-0.920067,26.036124,1,-0.587708,-0.053406,0.802429,-0.08905,8.77,-1.14,-0.97,-1.532369,-0.753851,-1.071819,-0.244606,-0.114735,-0.923954,0.25,0.25
26992910,0.113381,26.031487,1,-0.587341,-0.049927,0.802551,-0.091919,9.59,-0.88,-1.11,-1.720512,-0.365433,-0.267577,-0.223306,-0.094054,-0.443453,0.25,0.25
27004835,0.015786,26.02685,1,-0.586548,-0.04718,0.80304,-0.093994,8.96,-1.05,-1.78,-0.913344,-0.319304,-0.651728,-0.20951,-0.086183,-0.595921,0.25,0.25
