Code compiled on Dec 22 2025 at 15:34:53
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name (max 7 chars uppercase),FLIGHT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.637
Air Density (kg/m^3),1.18
Rocket CD,0.71
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.05
Kalman Model V STD,0.1
Kalman Model A STD,0.015
Kalman Measurement Y STD,0.26
Kalman Measurement A STD,0.013
Target Apogee (m),183
Launch Acceleration Threshold (m/s^2),20
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter lockout (s),120

Calibration point: 198.598961
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Servo deployment,
354033018,-0.201134,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,0.000000,-0.050000,-0.010043,0.015906,-0.050459,0.080949,-0.351723,-0.050455,0.000000,
354041208,0.261161,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.010000,-0.040000,-0.012090,0.038401,-0.040980,0.182509,-0.209472,-0.041085,0.000000,
354050349,0.445167,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.010000,-0.040000,-0.023887,0.019407,-0.040656,0.332234,-0.033248,-0.040660,0.000000,
354062895,0.075111,16.607303,1,-0.487854,0.009277,-0.007690,-0.872864,0.050000,-0.010000,-0.050000,-0.017242,0.046692,-0.051214,0.182856,-0.204100,-0.051098,0.000000,
354071099,0.443122,16.607303,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,0.010000,-0.070000,-0.018388,0.010217,-0.070410,0.332030,0.002313,-0.070197,0.000000,
354080350,0.538963,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,-0.020000,-0.060000,0.012319,0.017646,-0.060307,0.451551,0.141996,-0.060416,0.000000,
354092922,-0.016625,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.030000,-0.050000,0.005033,0.048655,-0.051065,0.181994,-0.173283,-0.051168,0.000000,
354101113,-0.293893,16.607303,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,-0.010000,-0.040000,0.003627,0.012856,-0.040269,-0.095334,-0.556669,-0.040389,0.000000,
354110255,-0.478402,16.607303,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,0.000000,-0.040000,-0.004891,0.007616,-0.040225,-0.321657,-0.819063,-0.040227,0.000000,
354122837,0.259117,16.607303,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,-0.040000,-0.050000,0.029268,0.028349,-0.050397,0.004631,-0.428644,-0.050285,0.000000,
