Code compiled on Mar 21 2026 at 12:11:29
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.193
Rocket CD,0.5
Airbrake CD,0.7
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),224.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),90
Control Max Velocity (dep/s),5

Calibration point: 285.586030
Time (us),RAW Altitude AGL (m),Corrected Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
252840117,16.633849,16.633849,34.335342,2,0.063904,-0.086792,-0.081238,-0.990845,-0.789997,0.662083,89.346650,15.298877,14.806698,76.982047,17.203883,52.126347,77.662206,0.000000,0.000000,
252849700,17.459044,17.459044,34.335342,2,0.052612,-0.085205,-0.082458,-0.991577,-0.576669,-0.070166,88.901742,14.806518,15.450376,76.484125,17.754722,52.889912,76.889541,0.000000,0.000000,
252860743,18.374938,18.374938,34.330812,2,0.040344,-0.082886,-0.083313,-0.992249,-0.245235,0.116991,87.133237,13.991153,14.884815,74.904418,18.459628,53.792040,75.587563,0.000000,0.000000,
252870105,18.581511,18.581511,34.330812,2,0.026978,-0.079895,-0.083740,-0.992920,0.166469,0.442097,87.154622,13.300552,14.419411,75.116986,18.989369,54.509924,75.278926,0.000000,0.000000,
252881016,18.903563,18.903563,34.335342,2,0.012573,-0.076294,-0.083801,-0.993469,0.400055,0.712674,85.116970,12.348921,13.625302,73.309143,19.572307,55.300294,73.987007,0.000000,0.000000,
252890175,18.839385,18.839385,34.348930,2,-0.002991,-0.072144,-0.083252,-0.993896,0.611866,0.474940,84.682926,11.583450,13.514455,72.996987,19.944296,55.879142,73.337680,0.000000,0.000000,
252900022,19.226683,19.226683,34.339871,2,-0.019409,-0.067627,-0.082153,-0.994141,0.934637,0.622430,83.805283,10.586511,12.895611,72.333538,20.363456,56.505744,72.679092,0.000000,0.000000,
252910759,20.258208,20.258208,34.339871,2,-0.036621,-0.062805,-0.080627,-0.994080,1.135855,1.068814,82.563317,9.599371,11.891078,71.346959,20.954475,57.259709,71.805387,0.000000,0.000000,
252920254,20.761046,20.761046,34.335342,2,-0.054688,-0.057861,-0.078613,-0.993713,1.418007,0.984085,81.907112,8.622591,11.477335,70.861138,21.465023,57.908883,71.186083,0.000000,0.000000,
252929971,21.380980,21.380980,34.335342,2,-0.073486,-0.052856,-0.076111,-0.992981,1.710632,1.788854,80.795149,7.445892,10.093780,70.056053,22.015227,58.579558,70.444931,0.000000,0.000000,
