Code compiled on Mar 21 2026 at 12:11:29
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,QF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.193
Rocket CD,0.5
Airbrake CD,0.7
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),225
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),90
Control Max Velocity (dep/s),5

Calibration point: 293.222158
Time (us),RAW Altitude AGL (m),Corrected Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
158158140,12.802286,12.802286,35.648728,2,0.625366,-0.159302,0.080078,-0.759705,1.180769,7.871797,96.125320,39.970054,4.690670,77.853872,11.868133,42.585496,78.929222,0.000000,0.000000,
158169165,13.630381,13.630381,35.648728,2,0.617126,-0.171021,0.084595,-0.763367,0.241701,8.145006,96.247615,42.568507,5.821962,76.705717,12.672801,43.642944,77.470901,0.000000,0.000000,
158178628,14.755350,14.755350,35.644200,2,0.605774,-0.182800,0.088013,-0.769348,-0.689838,8.390552,96.012744,44.926475,6.824553,75.199415,13.479844,44.607752,75.981114,0.000000,0.000000,
158188333,16.411417,16.411417,35.644200,2,0.590759,-0.194580,0.090027,-0.777832,-1.430291,7.968850,94.689384,46.096257,7.592689,72.957468,14.465836,45.668792,73.998011,0.000000,0.000000,
158199041,17.329935,17.329935,35.639671,2,0.571228,-0.206482,0.090332,-0.789246,-3.296058,8.015043,94.665659,48.413570,9.270953,71.476209,15.496118,46.777953,72.344051,0.000000,0.000000,
158208488,18.897288,18.897288,35.644200,2,0.546204,-0.218445,0.088318,-0.803833,-4.375041,7.492427,93.189627,49.353858,10.106423,69.079301,16.579018,47.842329,70.202818,0.000000,0.000000,
158218039,19.789103,19.789103,35.630614,2,0.514282,-0.230469,0.083557,-0.821838,-5.523962,6.691003,92.507860,50.409092,11.047682,67.467491,17.640715,48.871358,68.408816,0.000000,0.000000,
158229052,21.175944,21.175944,35.644200,2,0.474304,-0.242310,0.075562,-0.843018,-8.293396,6.724771,91.312850,52.568855,12.667443,64.549558,18.845728,50.004453,65.877662,0.000000,0.000000,
158238656,22.806071,22.806071,35.635143,2,0.424622,-0.253723,0.063782,-0.866760,-9.441577,5.797762,91.213117,53.957020,13.167522,63.395777,20.071830,51.093023,64.249889,0.000000,0.000000,
158249583,23.752146,23.752146,35.639671,2,0.365234,-0.263977,0.048523,-0.891357,-10.750892,4.143353,89.476188,54.244742,13.773134,60.951616,21.324308,52.202396,62.086670,0.000000,0.000000,
158259002,24.373209,24.373209,35.639671,2,0.298462,-0.272400,0.030823,-0.914185,-10.876929,3.034947,89.397815,55.093234,13.132275,60.278492,22.390827,53.141738,60.900756,0.000000,0.000000,
158268588,24.878702,24.878702,35.635143,2,0.228271,-0.278381,0.012268,-0.932861,-10.595743,1.714449,88.288105,54.912345,12.247258,59.077550,23.369448,54.007307,59.704982,0.000000,0.000000,
158279343,24.815470,24.815470,35.648728,2,0.157776,-0.281677,-0.005615,-0.946411,-9.943765,1.019012,86.897730,54.352295,10.623703,57.909463,24.224810,54.803275,58.527363,0.000000,0.000000,
158288704,24.995371,24.995371,35.639671,2,0.089966,-0.282471,-0.021301,-0.954834,-9.026016,0.283412,85.525553,53.293321,8.997848,57.093253,24.884799,55.430447,57.586778,0.000000,0.000000,
158298480,25.086100,25.086100,35.635143,2,0.025696,-0.280823,-0.033997,-0.958801,-8.613988,-0.060762,84.332881,52.503294,7.027968,56.384169,25.467068,56.005699,56.798025,0.000000,0.000000,
158309460,25.527354,25.527354,35.644200,2,-0.035095,-0.277161,-0.043640,-0.959167,-7.742580,-0.044848,83.411800,51.137176,4.694962,56.379514,26.096700,56.632085,56.523537,0.000000,0.000000,
158318913,25.292460,25.292460,35.635143,2,-0.092163,-0.271729,-0.050049,-0.956665,-7.160434,0.157471,82.375823,49.543295,2.143041,56.371500,26.483676,57.067572,56.423817,0.000000,0.000000,
158328637,25.707255,25.707255,35.635143,2,-0.146790,-0.264648,-0.053711,-0.951599,-6.788601,0.546171,81.237587,47.605267,-0.619009,56.377218,26.895696,57.523024,56.393251,0.000000,0.000000,
158339463,25.617563,25.617563,35.639671,2,-0.199402,-0.256226,-0.054932,-0.944214,-6.265784,0.982697,80.502078,45.318841,-3.318035,56.957861,27.282082,57.987600,56.763556,0.000000,0.000000,
158348910,25.086100,25.086100,35.635143,2,-0.250977,-0.246460,-0.054138,-0.934509,-5.738854,1.623630,79.622550,42.441485,-6.052770,57.562254,27.420583,58.266694,57.287387,0.000000,0.000000,
158359853,25.112559,25.112559,35.644200,2,-0.301514,-0.235535,-0.051575,-0.922485,-5.738999,1.997342,79.085660,39.818567,-8.664495,58.251461,27.628722,58.628814,57.919684,0.000000,0.000000,
158369267,25.797495,25.797495,35.630614,2,-0.351929,-0.223450,-0.047546,-0.907715,-5.432755,2.884598,77.232624,35.666653,-11.224068,58.053596,27.839644,58.953532,58.007504,0.000000,0.000000,
158378975,25.824442,25.824442,35.639671,2,-0.402649,-0.210266,-0.042419,-0.889893,-5.918309,3.429318,76.296207,32.237186,-13.808274,58.301186,28.036883,59.278882,58.200113,0.000000,0.000000,
158389866,26.031870,26.031870,35.639671,2,-0.453735,-0.196289,-0.036499,-0.868469,-6.254378,4.179458,75.736209,28.283669,-16.153810,58.985061,28.309952,59.683071,58.714928,0.000000,0.000000,
158399327,26.950724,26.950724,35.635143,2,-0.505493,-0.181702,-0.030090,-0.842957,-6.671835,4.729862,75.069879,24.113478,-18.044559,59.443241,28.622331,60.081776,59.192600,0.000000,0.000000,
158408884,28.519541,28.519541,35.639671,2,-0.558044,-0.166687,-0.023499,-0.812561,-8.301736,4.756334,74.191557,20.426339,-20.346715,59.220687,29.179970,60.635513,59.211021,0.000000,0.000000,
158419964,29.348368,29.348368,35.639671,2,-0.611206,-0.151550,-0.017090,-0.776611,-10.166281,4.946425,73.070872,16.151810,-22.547095,58.734740,29.886977,61.306402,58.898644,0.000000,0.000000,
158429205,31.097056,31.097056,35.635143,2,-0.665222,-0.136536,-0.011169,-0.734009,-12.105262,4.217830,71.966986,12.328973,-24.227666,58.058535,30.682907,61.988301,58.347648,0.000000,0.000000,
158440093,32.458414,32.458414,35.639671,2,-0.719727,-0.121948,-0.005981,-0.683472,-13.467779,4.346679,71.744400,7.422882,-25.110977,58.474263,31.694310,62.835161,58.430698,0.000000,0.000000,
158449304,34.649760,34.649760,35.644200,2,-0.773865,-0.107788,-0.001648,-0.624084,-15.076162,2.993258,71.054416,3.514360,-25.679201,58.122128,32.829824,63.726073,58.228330,0.000000,0.000000,
158459133,35.452616,35.452616,35.635143,2,-0.826233,-0.093933,0.001892,-0.555420,-16.135545,2.932736,69.916340,-1.795668,-24.727949,57.594471,33.950500,64.602322,57.812612,0.000000,0.000000,
158469821,37.320170,37.320170,35.635143,2,-0.874695,-0.080322,0.004822,-0.477966,-17.775579,0.623907,68.480633,-5.493252,-24.451844,56.367556,35.275892,65.602449,56.864859,0.000000,0.000000,
