Code compiled on Feb 14 2026 at 22:01:21
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,FLT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.24
Rocket CD,0.65
Airbrake CD,0.65
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.05
Kalman Model V STD,0.1
Kalman Model A STD,0.015
Kalman Measurement Y STD,0.26
Kalman Measurement A STD,0.013
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Calibration point: 238.512741
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
105165890,-0.473190,17.531291,1,0.882202,-0.027161,0.022217,-0.469604,0.100000,0.350000,0.700000,0.390670,0.131075,0.672831,-0.242081,-0.234274,0.672840,0.000000,0.000000,
105174667,0.176102,17.517363,1,0.882202,-0.027161,0.022217,-0.469604,0.100000,0.350000,0.810000,0.397788,0.134051,0.782560,-0.003006,0.035358,0.781351,0.000000,0.000000,
105187145,-0.473190,17.531291,1,0.882202,-0.027161,0.022217,-0.469604,0.120000,0.390000,0.730000,0.436865,0.137590,0.699732,-0.274245,-0.235580,0.700631,0.000000,0.000000,
105195742,-0.194855,17.526648,1,0.882202,-0.027161,0.022217,-0.469604,0.140000,0.430000,0.710000,0.479824,0.142752,0.676756,-0.230314,-0.172775,0.677019,0.000000,0.000000,
105204723,0.083481,17.522006,1,0.882202,-0.027161,0.022217,-0.469604,0.180000,0.330000,0.640000,0.414876,0.051920,0.613260,-0.050902,0.030217,0.613962,0.000000,0.000000,
105217376,-0.473190,17.531291,1,0.882202,-0.027161,0.022217,-0.469604,0.140000,0.410000,0.680000,0.461336,0.130791,0.648206,-0.294688,-0.218486,0.647828,0.000000,0.000000,
105226244,0.083481,17.522006,1,0.882202,-0.027161,0.022217,-0.469604,0.200000,0.430000,0.700000,0.512655,0.092695,0.665959,-0.077581,0.066331,0.665759,0.000000,0.000000,
105234986,-0.102249,17.531291,1,0.882202,-0.027161,0.022217,-0.469604,0.120000,0.450000,0.710000,0.485212,0.170497,0.675654,-0.091208,0.056136,0.675545,0.000000,0.000000,
105247562,-0.287460,17.531291,1,0.882202,-0.027161,0.022217,-0.469604,0.140000,0.480000,0.730000,0.522487,0.171166,0.693267,-0.203954,-0.055705,0.693072,0.000000,0.000000,
105256152,-0.009125,17.526648,1,0.882202,-0.027161,0.022217,-0.469543,0.100000,0.390000,0.710000,0.424379,0.153702,0.680056,-0.091596,0.095104,0.680199,0.000000,0.000000,
105265146,-0.473190,17.531291,1,0.882263,-0.027161,0.022217,-0.469482,0.140000,0.370000,0.680000,0.428212,0.108605,0.650957,-0.310883,-0.147028,0.651279,0.000000,0.000000,
105285649,-0.102249,17.531291,1,0.882263,-0.027161,0.022217,-0.469482,0.160000,0.450000,0.750000,0.510082,0.138523,0.715007,-0.191981,-0.001469,0.714305,0.000000,0.000000,
105295101,-0.194336,17.517363,1,0.882263,-0.027161,0.022217,-0.469482,0.060000,0.370000,0.710000,0.385498,0.175787,0.681979,-0.193351,0.002504,0.682335,0.000000,0.000000,
105304607,0.083481,17.522006,1,0.882263,-0.027161,0.022217,-0.469482,0.100000,0.410000,0.680000,0.438973,0.164098,0.648753,-0.032325,0.232439,0.649123,0.000000,0.000000,
105318838,-0.380066,17.526648,1,0.882263,-0.027161,0.022217,-0.469482,0.130000,0.410000,0.660000,0.454424,0.138668,0.628391,-0.231407,-0.005713,0.628620,0.000000,0.000000,
105327375,0.176102,17.517363,1,0.882202,-0.027161,0.022217,-0.469543,0.140000,0.350000,0.730000,0.414905,0.098753,0.702210,0.005630,0.345459,0.701399,0.000000,0.000000,
105336169,0.176102,17.517363,1,0.882202,-0.027161,0.022217,-0.469543,0.160000,0.370000,0.680000,0.439376,0.091958,0.650684,0.107198,0.468948,0.651243,0.000000,0.000000,
105348391,-0.380066,17.517363,1,0.882202,-0.027161,0.022217,-0.469604,0.160000,0.370000,0.680000,0.439400,0.091897,0.650683,-0.168997,0.166785,0.650689,0.000000,0.000000,
105357267,-0.009125,17.526648,1,0.882202,-0.027161,0.022217,-0.469604,0.080000,0.350000,0.710000,0.380158,0.147941,0.683080,-0.074891,0.292040,0.682723,0.000000,0.000000,
105366158,-0.009125,17.526648,1,0.882202,-0.027161,0.022217,-0.469604,0.120000,0.350000,0.710000,0.402476,0.114750,0.682533,-0.034306,0.341857,0.682535,0.000000,0.000000,
105378444,-0.194336,17.517363,1,0.882202,-0.027161,0.022217,-0.469604,0.130000,0.370000,0.710000,0.424603,0.117602,0.681020,-0.122648,0.248801,0.681037,0.000000,0.000000,
105387268,0.175583,17.526648,1,0.882202,-0.027161,0.022217,-0.469604,0.180000,0.370000,0.700000,0.451854,0.075842,0.670360,0.052331,0.479266,0.670478,0.000000,0.000000,
105395883,-0.101730,17.522006,1,0.882202,-0.027161,0.022217,-0.469604,0.140000,0.410000,0.730000,0.464571,0.132144,0.698082,-0.032422,0.381958,0.697778,0.000000,0.000000,
105408411,-0.194855,17.526648,1,0.882202,-0.027161,0.022217,-0.469482,0.120000,0.410000,0.700000,0.451405,0.148051,0.668432,-0.121566,0.288061,0.668755,0.000000,0.000000,
105417156,-0.287460,17.531291,1,0.882263,-0.027161,0.022217,-0.469421,0.180000,0.430000,0.730000,0.503379,0.110306,0.696159,-0.215153,0.166993,0.695857,0.000000,0.000000,
105426044,-0.101730,17.522006,1,0.882324,-0.027161,0.022217,-0.469299,0.080000,0.430000,0.700000,0.445556,0.192563,0.667603,-0.148155,0.249756,0.667914,0.000000,0.000000,
105438560,-0.194855,17.526648,1,0.882385,-0.027161,0.022217,-0.469177,0.100000,0.410000,0.680000,0.438849,0.164389,0.648754,-0.172017,0.227655,0.648965,0.000000,0.000000,
105447413,0.175583,17.526648,1,0.882507,-0.027161,0.022217,-0.469055,0.060000,0.330000,0.730000,0.353570,0.154340,0.704681,0.031568,0.504565,0.704067,0.000000,0.000000,
105456162,-0.194855,17.526648,1,0.882507,-0.027161,0.022217,-0.468994,0.080000,0.350000,0.730000,0.381253,0.148979,0.703031,-0.094759,0.354402,0.703042,0.000000,0.000000,
105468547,-0.010147,17.535934,1,0.882568,-0.027161,0.022217,-0.468933,0.160000,0.390000,0.660000,0.454514,0.103164,0.629352,-0.041335,0.417249,0.630164,0.000000,0.000000,
105477338,-0.844131,17.531291,1,0.882568,-0.027161,0.022217,-0.468933,0.140000,0.430000,0.710000,0.479625,0.143447,0.676753,-0.503043,-0.202865,0.676239,0.000000,0.000000,
105486324,0.083481,17.531291,1,0.882568,-0.027161,0.022217,-0.468933,0.140000,0.430000,0.730000,0.480918,0.143989,0.696704,-0.166010,0.209190,0.696478,0.000000,0.000000,
105498965,0.639679,17.522006,1,0.882568,-0.027161,0.022217,-0.468933,0.130000,0.390000,0.660000,0.437737,0.128032,0.629764,0.303533,0.752246,0.630500,0.000000,0.000000,
105507598,-0.009125,17.526648,1,0.882568,-0.027161,0.022217,-0.468933,0.130000,0.410000,0.660000,0.454268,0.139206,0.628389,0.128689,0.507493,0.628412,0.000000,0.000000,
105516399,-0.380066,17.526648,1,0.882568,-0.027161,0.022278,-0.468872,0.130000,0.350000,0.730000,0.409256,0.107594,0.702306,-0.160695,0.159066,0.701491,0.000000,0.000000,
105529047,-0.010147,17.535934,1,0.882629,-0.027161,0.022278,-0.468811,0.140000,0.370000,0.700000,0.429431,0.109725,0.670864,-0.071410,0.267189,0.671201,0.000000,0.000000,
105537885,-0.009125,17.526648,1,0.882629,-0.027161,0.022278,-0.468689,0.140000,0.410000,0.700000,0.462424,0.132211,0.668111,-0.032881,0.323151,0.668146,0.000000,0.000000,
105546755,0.454453,17.522006,1,0.882690,-0.027161,0.022278,-0.468628,0.100000,0.390000,0.680000,0.422210,0.153682,0.650091,0.251664,0.674730,0.650290,0.000000,0.000000,
105559211,0.083481,17.531291,1,0.882690,-0.027161,0.022278,-0.468628,0.130000,0.370000,0.700000,0.423777,0.118182,0.671002,0.162663,0.569958,0.670774,0.000000,0.000000,
105567777,-0.009125,17.526648,1,0.882690,-0.027161,0.022278,-0.468628,0.180000,0.450000,0.730000,0.519798,0.122312,0.694728,0.067932,0.437765,0.694464,0.000000,0.000000,
105576689,0.547058,17.526648,1,0.882690,-0.027161,0.022278,-0.468628,0.180000,0.450000,0.730000,0.519798,0.122312,0.694728,0.348672,0.779999,0.694725,0.000000,0.000000,
105589283,-0.381104,17.535934,1,0.882690,-0.027161,0.022278,-0.468628,0.200000,0.430000,0.680000,0.511232,0.093203,0.645951,-0.064398,0.296517,0.646488,0.000000,0.000000,
105598118,0.083481,17.531291,1,0.882690,-0.027161,0.022278,-0.468628,0.130000,0.450000,0.730000,0.491809,0.163738,0.695422,0.024082,0.423029,0.694883,0.000000,0.000000,
105606988,0.175583,17.526648,1,0.882690,-0.027161,0.022278,-0.468628,0.080000,0.410000,0.700000,0.428832,0.181980,0.668943,0.115442,0.537885,0.669229,0.000000,0.000000,
105619590,0.267685,17.531291,1,0.882690,-0.027161,0.022278,-0.468628,0.120000,0.370000,0.660000,0.415588,0.125385,0.631240,0.210533,0.649621,0.631658,0.000000,0.000000,
