,,,,,,,,,,,,
time stamp,raw pressure,raw temperature,raw ax,raw ay,raw aZ,calcualted alt,y estimate,v estimate,a estimate,apogee estimate,servo deployment,flight mode
100665,98.58,27.13,0.02,0.03,1.00,-0.04,-0.22,-0.88,-0.15,apogee estimate,0.00,0
100769,98.58,27.13,0.02,0.03,1.00,0.58,0.29,0.79,0.16,apogee estimate,0.00,0
100858,98.58,27.14,0.01,0.03,1.00,0.44,0.47,1.13,0.22,apogee estimate,0.00,0
100948,98.58,27.14,0.02,0.03,1.00,-0.16,0.12,-0.16,-0.03,apogee estimate,0.00,0
101037,98.58,27.13,0.01,0.02,1.00,0.49,0.37,0.60,0.12,apogee estimate,0.00,0
101127,98.58,27.14,0.02,0.03,1.00,-0.01,0.15,-0.17,-0.03,apogee estimate,0.00,0
101216,98.58,27.14,0.02,0.03,1.00,0.02,0.05,-0.45,-0.08,apogee estimate,0.00,0
101320,98.58,27.13,0.01,0.03,1.00,0.30,0.19,0.09,0.02,apogee estimate,0.00,0
101409,98.58,27.14,0.01,0.03,1.00,-0.02,0.04,-0.36,-0.06,apogee estimate,0.00,0
101500,98.58,27.14,0.01,0.03,1.00,0.07,0.03,-0.31,-0.05,apogee estimate,0.00,0
101589,98.58,27.14,0.02,0.03,1.00,0.44,0.30,0.54,0.11,apogee estimate,0.00,0
101679,98.58,27.15,0.01,0.02,1.00,0.06,0.18,0.06,0.02,apogee estimate,0.00,0
101767,98.58,27.15,0.01,0.02,1.00,-0.00,0.06,-0.32,-0.05,apogee estimate,0.00,0
101857,98.58,27.14,0.01,0.03,1.00,0.33,0.22,0.26,0.05,apogee estimate,0.00,0
101961,98.58,27.14,0.02,0.03,1.00,0.23,0.26,0.29,0.06,apogee estimate,0.00,0
102050,98.58,27.15,0.02,0.03,1.00,0.48,0.45,0.78,0.15,apogee estimate,0.00,0
102140,98.58,27.15,0.02,0.03,1.00,0.18,0.32,0.22,0.04,apogee estimate,0.00,0
102229,98.58,27.15,0.01,0.02,1.00,0.39,0.39,0.35,0.06,apogee estimate,0.00,0
102319,98.58,27.15,0.01,0.02,1.00,-0.08,0.09,-0.61,-0.12,apogee estimate,0.00,0
102408,98.58,27.15,0.01,0.03,1.00,0.16,0.09,-0.47,-0.09,apogee estimate,0.00,0
102498,98.58,27.16,0.02,0.03,1.00,0.02,-0.00,-0.62,-0.12,apogee estimate,0.00,0
102601,98.58,27.14,0.02,0.03,1.00,0.21,0.09,-0.18,-0.03,apogee estimate,0.00,0
102691,98.58,27.16,0.01,0.03,1.00,0.45,0.35,0.60,0.11,apogee estimate,0.00,0
102779,98.58,27.16,0.01,0.03,1.00,0.35,0.41,0.63,0.12,apogee estimate,0.00,0
102869,98.58,27.16,0.01,0.03,1.00,0.17,0.29,0.15,0.02,apogee estimate,0.00,0
102957,98.58,27.15,0.01,0.03,1.00,0.39,0.38,0.35,0.06,apogee estimate,0.00,0
103047,98.58,27.16,0.01,0.03,1.00,0.29,0.34,0.17,0.03,apogee estimate,0.00,0
103193,98.58,27.16,0.02,0.03,1.00,0.22,0.26,-0.10,-0.02,apogee estimate,0.00,0
103283,98.58,27.16,0.01,0.03,1.00,0.35,0.32,0.09,0.01,apogee estimate,0.00,0
103373,98.58,27.16,0.01,0.03,1.00,0.11,0.17,-0.34,-0.07,apogee estimate,0.00,0
103463,98.59,27.17,0.01,0.03,1.00,-0.32,-0.20,-1.31,-0.27,apogee estimate,0.00,0
103552,98.58,27.16,0.01,0.03,1.00,0.24,-0.01,-0.43,-0.09,apogee estimate,0.00,0
103642,98.58,27.16,0.01,0.03,1.00,0.31,0.18,0.24,0.04,apogee estimate,0.00,0
103732,98.58,27.17,0.02,0.03,1.00,0.38,0.34,0.66,0.12,apogee estimate,0.00,0
103837,98.58,27.17,0.01,0.03,1.00,0.39,0.45,0.77,0.14,apogee estimate,0.00,0
103925,98.58,27.17,0.01,0.03,1.00,0.32,0.42,0.50,0.09,apogee estimate,0.00,0
104015,98.58,27.17,0.01,0.03,1.00,0.40,0.45,0.47,0.08,apogee estimate,0.00,0
104103,98.58,27.17,0.01,0.03,1.00,0.49,0.52,0.55,0.09,apogee estimate,0.00,0
104194,98.58,27.17,0.02,0.03,1.00,0.24,0.37,-0.03,-0.01,apogee estimate,0.00,0
104282,98.58,27.17,0.01,0.03,1.00,0.17,0.23,-0.45,-0.09,apogee estimate,0.00,0
104387,98.57,27.17,0.01,0.03,1.00,0.67,0.51,0.49,0.08,apogee estimate,0.00,0
104477,98.58,27.17,0.01,0.03,1.00,0.39,0.46,0.23,0.03,apogee estimate,0.00,0
104566,98.58,27.17,0.01,0.03,1.00,0.26,0.34,-0.19,-0.05,apogee estimate,0.00,0
104656,98.58,27.18,0.01,0.03,1.00,0.32,0.31,-0.23,-0.06,apogee estimate,0.00,0
104745,98.58,27.17,0.01,0.03,1.00,0.27,0.26,-0.33,-0.07,apogee estimate,0.00,0
104835,98.58,27.18,0.02,0.03,1.00,0.48,0.39,0.14,0.02,apogee estimate,0.00,0
104924,98.58,27.18,0.01,0.02,1.00,0.24,0.30,-0.16,-0.04,apogee estimate,0.00,0
105028,98.58,27.18,0.01,0.03,1.00,0.38,0.34,0.00,-0.01,apogee estimate,0.00,0
105116,98.58,27.18,0.01,0.03,1.00,0.14,0.19,-0.42,-0.09,apogee estimate,0.00,0
105206,98.58,27.17,0.01,0.03,1.00,0.25,0.19,-0.32,-0.07,apogee estimate,0.00,0
105294,98.58,27.17,0.02,0.03,1.00,0.31,0.25,-0.08,-0.02,apogee estimate,0.00,0
105385,98.58,27.18,0.02,0.03,1.00,0.02,0.08,-0.57,-0.11,apogee estimate,0.00,0
105473,98.58,27.18,0.01,0.03,1.00,0.25,0.15,-0.22,-0.04,apogee estimate,0.00,0
105578,98.58,27.18,0.00,0.03,1.00,0.35,0.28,0.21,0.03,apogee estimate,0.00,0
105668,98.58,27.19,0.01,0.02,1.00,0.32,0.33,0.32,0.05,apogee estimate,0.00,0
105757,98.58,27.18,0.02,0.04,1.00,0.55,0.52,0.77,0.14,apogee estimate,0.00,0
105847,98.58,27.18,0.01,0.03,1.00,0.36,0.47,0.45,0.08,apogee estimate,0.00,0
105936,98.58,27.19,0.00,0.03,1.00,0.23,0.34,-0.04,-0.02,apogee estimate,0.00,0
106026,98.58,27.19,0.01,0.03,1.00,0.07,0.14,-0.62,-0.12,apogee estimate,0.00,0
106115,98.58,27.19,0.01,0.03,1.00,0.19,0.12,-0.53,-0.11,apogee estimate,0.00,0
106220,98.58,27.19,0.01,0.03,1.00,-0.08,-0.09,-0.97,-0.18,apogee estimate,0.00,0
106308,98.58,27.19,0.01,0.03,1.00,0.32,0.13,-0.10,-0.02,apogee estimate,0.00,0
106398,98.58,27.19,0.01,0.03,1.00,0.03,0.05,-0.31,-0.06,apogee estimate,0.00,0
106486,98.58,27.19,0.01,0.03,1.00,0.21,0.14,0.02,0.00,apogee estimate,0.00,0
106577,98.58,27.19,0.01,0.03,1.00,0.23,0.20,0.21,0.04,apogee estimate,0.00,0
106665,98.58,27.20,0.02,0.03,1.00,0.20,0.22,0.21,0.04,apogee estimate,0.00,0
106770,98.58,27.20,0.01,0.03,1.00,0.20,0.23,0.17,0.03,apogee estimate,0.00,0
106860,98.58,27.20,0.01,0.03,1.00,0.37,0.35,0.47,0.09,apogee estimate,0.00,0
106949,98.58,27.20,0.01,0.03,1.00,0.33,0.37,0.43,0.08,apogee estimate,0.00,0
107039,98.58,27.20,0.01,0.03,1.00,0.24,0.32,0.16,0.02,apogee estimate,0.00,0
107128,98.58,27.20,0.01,0.03,1.00,-0.09,0.04,-0.69,-0.14,apogee estimate,0.00,0
107218,98.58,27.20,0.02,0.03,1.00,0.52,0.32,0.30,0.05,apogee estimate,0.00,0
107307,98.58,27.20,0.01,0.03,1.00,0.26,0.30,0.17,0.03,apogee estimate,0.00,0
