Simulation,Algorithm,Apogee_AGL_m,Error_m,Max_Deployment
90,INTEGRATOR,226.13387145722328,-0.5961285427767109,0.932
91,INTEGRATOR,225.3914888273381,-1.338511172661896,0.875
92,INTEGRATOR,226.48814869163402,-0.24185130836596613,0.97
93,INTEGRATOR,226.59598140083995,-0.13401859916004355,1.0
94,INTEGRATOR,226.60397061670136,-0.12602938329862923,1.0
95,INTEGRATOR,226.60085698750328,-0.12914301249671212,1.0
96,INTEGRATOR,225.75941791862022,-0.9705820813797743,0.893
97,INTEGRATOR,226.551704096818,-0.17829590318197575,0.985
98,INTEGRATOR,225.98243435149374,-0.747565648506253,0.911
99,INTEGRATOR,226.46468223284523,-0.2653177671547553,0.967
100,INTEGRATOR,226.68320353826073,-0.04679646173926244,1.0
